Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,0.96,251.542,26.341,35.324,9.692,9.035,0.037,0.62,255.002,26.331,1.866,5.766,0.09,0.143,0.001,787.957,12.24,19.584,0.153,58.472,2685.399,2.336,1.042,-7.94,-0.507,5.988,12.842,18.972,13.349,0.216,10.044,1.561,0.463,0.565,35.937
1100,1.0,0.958,255.196,29.396,39.421,9.834,9.167,0.038,0.63,253.44,29.144,2.07,6.395,0.1,0.159,0.001,783.129,12.266,19.424,0.152,59.092,2696.846,2.112,1.044,-7.94,-0.521,5.961,12.802,18.92,13.324,0.217,11.07,1.575,0.459,0.573,36.163
1200,1.0,0.956,259.614,32.624,43.75,10.005,9.325,0.038,0.641,251.189,31.99,2.276,7.034,0.111,0.174,0.001,776.173,12.258,19.211,0.151,59.714,2707.769,1.906,1.046,-7.94,-0.538,5.931,12.757,18.861,13.294,0.217,12.103,1.586,0.449,0.583,36.488
1300,1.0,0.954,263.006,35.805,48.015,10.139,9.447,0.039,0.653,249.992,34.868,2.486,7.683,0.122,0.19,0.001,772.476,12.3,19.079,0.15,60.338,2718.239,1.75,1.048,-7.94,-0.556,5.897,12.706,18.795,13.261,0.217,13.144,1.6,0.447,0.591,36.675
1400,1.0,0.952,266.299,39.041,52.355,10.27,9.565,0.04,0.665,248.928,37.779,2.7,8.342,0.134,0.206,0.002,769.188,12.347,18.958,0.149,60.963,2728.308,1.615,1.05,-7.94,-0.575,5.86,12.651,18.725,13.226,0.218,14.192,1.614,0.445,0.599,36.848
1500,1.0,0.95,269.505,42.334,56.77,10.399,9.681,0.04,0.678,247.978,40.723,2.916,9.011,0.146,0.222,0.002,766.251,12.399,18.846,0.149,61.589,2738.025,1.499,1.053,-7.94,-0.595,5.822,12.594,18.651,13.19,0.218,15.249,1.627,0.443,0.606,37.008
1600,1.0,0.948,273.52,45.829,61.457,10.558,9.825,0.041,0.692,246.328,43.699,3.136,9.69,0.158,0.238,0.002,761.153,12.415,18.682,0.148,62.217,2747.426,1.383,1.055,-7.94,-0.617,5.782,12.535,18.574,13.151,0.219,16.313,1.639,0.435,0.616,37.27
1700,1.0,0.946,276.587,49.239,66.031,10.684,9.935,0.042,0.707,245.572,46.708,3.359,10.379,0.171,0.254,0.002,758.816,12.475,18.585,0.147,62.849,2756.556,1.294,1.057,-7.94,-0.638,5.741,12.474,18.494,13.112,0.219,17.384,1.653,0.434,0.623,37.409
1800,1.0,0.944,279.596,52.703,70.675,10.808,10.043,0.043,0.722,244.892,49.75,3.585,11.078,0.184,0.271,0.002,756.718,12.538,18.494,0.147,63.482,2765.428,1.215,1.059,-7.939,-0.661,5.699,12.411,18.413,13.072,0.219,18.463,1.667,0.433,0.63,37.54
1900,1.0,0.942,283.423,56.392,75.623,10.962,10.181,0.043,0.738,243.531,52.825,3.815,11.788,0.197,0.287,0.002,752.51,12.566,18.352,0.146,64.116,2774.077,1.132,1.062,-7.939,-0.683,5.657,12.348,18.331,13.031,0.22,19.55,1.679,0.426,0.639,37.772
2000,1.0,0.94,286.333,59.969,80.42,11.084,10.285,0.044,0.755,242.989,55.932,4.048,12.508,0.21,0.304,0.002,750.836,12.635,18.273,0.146,64.751,2782.651,1.069,1.064,-7.939,-0.706,5.614,12.283,18.248,12.989,0.22,20.645,1.693,0.426,0.646,37.888
2100,1.0,0.938,288.63,63.473,85.119,11.185,10.368,0.045,0.772,242.981,59.072,4.284,13.238,0.224,0.321,0.003,750.812,12.732,18.233,0.146,64.715,2780.023,1.001,1.066,-7.939,-0.608,5.797,12.557,18.602,13.165,0.22,21.388,1.706,0.426,0.652,37.93
2200,1.0,0.936,290.051,66.823,89.611,11.255,10.419,0.045,0.791,243.716,62.244,4.524,13.979,0.239,0.339,0.003,753.082,12.868,18.249,0.146,64.653,2777.056,0.948,1.068,-7.939,-0.507,5.987,12.839,18.967,13.346,0.22,22.103,1.721,0.432,0.656,37.866
2300,1.0,0.934,292.279,70.397,94.404,11.354,10.499,0.046,0.81,243.776,65.45,4.767,14.73,0.254,0.356,0.003,753.269,12.969,18.215,0.146,64.569,2773.782,0.889,1.071,-7.938,-0.402,6.183,13.131,19.346,13.534,0.221,22.787,1.734,0.432,0.662,37.901
2400,1.0,0.932,293.653,73.803,98.971,11.424,10.548,0.047,0.829,244.553,68.688,5.014,15.492,0.269,0.374,0.003,755.669,13.108,18.234,0.147,64.46,2770.128,0.844,1.073,-7.938,-0.294,6.386,13.434,19.738,13.728,0.221,23.441,1.748,0.438,0.666,37.834
2500,1.0,0.93,295.006,77.232,103.57,11.494,10.597,0.048,0.85,245.348,71.958,5.264,16.264,0.284,0.392,0.003,758.127,13.249,18.254,0.147,64.322,2766.063,0.8,1.075,-7.938,-0.181,6.596,13.748,20.144,13.929,0.221,24.065,1.762,0.443,0.67,37.768
2600,1.0,0.928,296.373,80.694,108.212,11.565,10.646,0.048,0.871,245.637,75.11,5.506,17.013,0.3,0.409,0.003,759.018,13.363,18.236,0.147,64.036,2761.943,0.756,1.078,-7.937,-0.065,6.814,14.073,20.565,14.138,0.221,24.658,1.771,0.442,0.674,37.782
2700,1.0,0.926,296.915,83.951,112.58,11.607,10.665,0.049,0.893,246.612,78.282,5.751,17.77,0.315,0.426,0.003,762.03,13.514,18.269,0.148,63.721,2757.464,0.722,1.08,-7.937,0.056,7.04,14.411,21.002,14.355,0.222,25.22,1.782,0.447,0.677,37.7
2800,1.0,0.924,298.054,87.394,117.197,11.671,10.706,0.05,0.916,247.49,81.607,6.008,18.565,0.332,0.444,0.004,764.743,13.661,18.294,0.148,63.473,2752.395,0.686,1.082,-7.937,0.182,7.276,14.762,21.456,14.58,0.222,25.75,1.796,0.452,0.681,37.63
2900,1.0,0.922,299.789,91.042,122.089,11.758,10.768,0.05,0.939,248.271,85.097,6.279,19.401,0.349,0.463,0.004,767.157,13.804,18.312,0.149,63.288,2746.514,0.649,1.085,-7.936,0.313,7.521,15.127,21.929,14.814,0.222,26.248,1.812,0.457,0.686,37.571
3000,1.0,0.92,301.503,94.72,127.021,11.844,10.83,0.051,0.963,249.07,88.627,6.553,20.25,0.367,0.482,0.004,769.627,13.948,18.332,0.149,63.068,2740.337,0.613,1.087,-7.936,0.449,7.775,15.506,22.42,15.057,0.222,26.714,1.828,0.462,0.691,37.511
3100,1.0,0.918,305.118,99.051,132.83,12.0,10.96,0.052,0.988,248.214,92.16,6.829,21.103,0.385,0.502,0.004,766.983,13.999,18.229,0.149,63.725,2747.777,0.584,1.089,-7.935,0.422,7.723,15.429,22.32,15.007,0.222,27.697,1.843,0.458,0.7,37.682
3200,1.0,0.916,307.965,103.2,138.394,12.128,11.062,0.052,1.014,248.006,95.731,7.11,21.968,0.404,0.521,0.004,766.338,14.087,18.174,0.149,64.385,2755.21,0.561,1.092,-7.935,0.394,7.672,15.352,22.22,14.958,0.222,28.685,1.859,0.459,0.707,37.766
3300,1.0,0.914,311.311,107.581,144.269,12.275,11.182,0.053,1.04,247.269,99.281,7.389,22.833,0.423,0.54,0.004,764.061,14.144,18.08,0.148,65.013,2762.738,0.536,1.094,-7.934,0.367,7.62,15.275,22.12,14.908,0.222,29.681,1.873,0.454,0.716,37.926
3400,1.0,0.912,313.657,111.677,149.761,12.387,11.267,0.054,1.067,247.199,102.806,7.668,23.695,0.442,0.559,0.005,763.844,14.239,18.036,0.148,65.607,2770.272,0.518,1.096,-7.934,0.34,7.569,15.198,22.02,14.858,0.222,30.682,1.887,0.456,0.722,37.997
3500,1.0,0.91,315.981,115.813,155.308,12.499,11.35,0.054,1.095,247.154,106.361,7.951,24.569,0.461,0.579,0.005,763.706,14.335,17.993,0.148,66.204,2777.723,0.5,1.099,-7.933,0.313,7.518,15.121,21.921,14.809,0.222,31.69,1.901,0.457,0.729,38.065
3600,1.0,0.908,318.417,120.04,160.977,12.616,11.438,0.055,1.123,246.654,109.778,8.225,25.414,0.48,0.597,0.005,762.161,14.405,17.917,0.148,66.709,2785.343,0.482,1.101,-7.933,0.286,7.467,15.045,21.822,14.759,0.222,32.705,1.911,0.452,0.736,38.204
3700,1.0,0.906,320.076,124.018,166.31,12.706,11.497,0.056,1.152,246.765,113.216,8.501,26.268,0.5,0.616,0.005,762.503,14.51,17.886,0.148,67.22,2793.042,0.469,1.104,-7.932,0.259,7.416,14.969,21.724,14.71,0.222,33.725,1.923,0.453,0.741,38.258
3800,1.0,0.904,321.554,127.958,171.594,12.789,11.55,0.057,1.182,246.925,116.631,8.777,27.12,0.52,0.635,0.005,762.999,14.618,17.858,0.148,67.708,2800.751,0.456,1.106,-7.931,0.233,7.366,14.894,21.626,14.661,0.222,34.753,1.933,0.455,0.746,38.309
3900,1.0,0.902,323.617,132.167,177.239,12.895,11.624,0.057,1.213,246.55,120.019,9.052,27.97,0.539,0.653,0.005,761.841,14.694,17.791,0.148,68.174,2808.453,0.442,1.109,-7.931,0.206,7.316,14.818,21.528,14.612,0.222,35.786,1.942,0.449,0.752,38.437
4000,1.0,0.9,324.898,136.093,182.504,12.973,11.67,0.058,1.245,246.777,123.424,9.329,28.827,0.56,0.672,0.006,762.541,14.807,17.768,0.148,68.64,2816.063,0.431,1.111,-7.93,0.18,7.266,14.743,21.431,14.564,0.222,36.826,1.952,0.451,0.756,38.482
4100,1.0,0.898,326.279,140.088,187.861,13.056,11.72,0.059,1.277,246.56,126.653,9.594,29.647,0.58,0.689,0.006,761.87,14.892,17.713,0.148,69.01,2823.938,0.419,1.114,-7.929,0.153,7.216,14.669,21.334,14.515,0.222,37.872,1.957,0.445,0.761,38.597
4200,1.0,0.896,326.884,143.771,192.8,13.111,11.742,0.059,1.31,246.933,129.889,9.862,30.472,0.6,0.707,0.006,763.022,15.014,17.7,0.148,69.379,2831.867,0.411,1.116,-7.929,0.127,7.166,14.595,21.238,14.467,0.222,38.925,1.965,0.446,0.764,38.63
4300,1.0,0.894,327.223,147.347,197.595,13.157,11.754,0.06,1.343,247.369,133.057,10.125,31.285,0.62,0.724,0.006,764.369,15.139,17.692,0.148,69.715,2839.817,0.404,1.119,-7.928,0.101,7.117,14.521,21.142,14.42,0.222,39.984,1.971,0.447,0.767,38.659
4400,1.0,0.892,328.056,151.157,202.705,13.222,11.784,0.061,1.378,247.293,136.151,10.383,32.085,0.64,0.741,0.006,764.137,15.233,17.647,0.148,70.017,2847.794,0.395,1.121,-7.927,0.076,7.068,14.448,21.047,14.372,0.221,41.05,1.974,0.441,0.771,38.763
4500,1.0,0.89,326.995,154.093,206.642,13.267,11.746,0.062,1.46,248.654,139.246,10.643,32.888,0.66,0.758,0.006,768.34,15.417,17.704,0.149,70.823,2858.639,0.395,1.124,-8.171,-0.195,6.775,14.129,20.707,14.324,0.222,42.122,1.979,0.443,0.774,38.807
4600,1.0,0.888,327.52,157.77,211.573,13.323,11.765,0.062,1.496,248.673,142.259,10.898,33.675,0.68,0.774,0.007,768.4,15.517,17.666,0.149,71.088,2866.809,0.387,1.126,-8.17,-0.22,6.726,14.057,20.613,14.277,0.221,43.2,1.982,0.437,0.777,38.905
4700,1.0,0.886,327.268,161.076,216.006,13.352,11.755,0.063,1.534,249.285,145.27,11.154,34.465,0.7,0.791,0.007,770.292,15.655,17.669,0.15,71.352,2874.905,0.382,1.129,-8.17,-0.245,6.678,13.985,20.519,14.23,0.221,44.285,1.986,0.437,0.779,38.924
4800,1.0,0.884,326.986,164.361,220.412,13.38,11.745,0.064,1.571,249.923,148.277,11.41,35.258,0.721,0.807,0.007,772.262,15.795,17.675,0.15,71.614,2882.92,0.378,1.131,-8.169,-0.271,6.631,13.913,20.426,14.184,0.221,45.376,1.99,0.438,0.78,38.941
4900,1.0,0.882,327.436,168.016,225.314,13.436,11.762,0.064,1.61,250.004,151.28,11.668,36.054,0.742,0.823,0.007,772.511,15.9,17.64,0.15,71.875,2890.879,0.37,1.134,-8.168,-0.295,6.583,13.842,20.333,14.137,0.221,46.473,1.992,0.432,0.783,39.036
5000,1.0,0.88,327.112,171.275,229.684,13.464,11.75,0.065,1.649,250.678,154.28,11.926,36.852,0.763,0.84,0.007,774.595,16.043,17.648,0.15,72.135,2898.924,0.366,1.136,-8.167,-0.32,6.536,13.771,20.241,14.091,0.22,47.577,1.996,0.433,0.785,39.052
5100,1.0,0.88,325.998,174.106,233.48,13.465,11.71,0.066,1.69,251.391,157.276,12.158,37.568,0.778,0.856,0.007,776.799,16.089,17.698,0.151,72.281,2902.644,0.362,1.136,-8.166,-0.345,6.489,13.7,20.15,14.045,0.22,48.687,1.995,0.433,0.785,39.077
5200,1.0,0.88,325.609,177.308,237.774,13.493,11.696,0.066,1.73,251.549,160.269,12.389,38.283,0.793,0.872,0.007,777.287,16.099,17.709,0.151,72.426,2906.263,0.354,1.136,-8.165,-0.369,6.442,13.63,20.058,13.999,0.22,49.804,1.993,0.426,0.787,39.179
5300,1.0,0.88,324.442,180.07,241.478,13.493,11.654,0.067,1.772,252.31,163.258,12.62,38.997,0.808,0.888,0.008,779.639,16.148,17.763,0.151,72.568,2909.783,0.349,1.136,-8.164,-0.393,6.396,13.56,19.968,13.954,0.22,50.927,1.993,0.426,0.787,39.202
5400,1.0,0.88,323.247,182.792,245.128,13.493,11.611,0.068,1.814,253.099,166.244,12.851,39.71,0.822,0.905,0.008,782.075,16.198,17.818,0.152,72.708,2913.306,0.345,1.136,-8.162,-0.418,6.35,13.491,19.878,13.909,0.22,52.057,1.992,0.426,0.787,39.225
5500,1.0,0.88,322.775,185.905,249.303,13.52,11.594,0.068,1.858,253.325,169.226,13.082,40.423,0.837,0.921,0.008,782.774,16.213,17.834,0.152,72.845,2916.892,0.338,1.136,-8.161,-0.442,6.304,13.422,19.788,13.864,0.22,53.193,1.99,0.42,0.788,39.325
5600,1.0,0.88,321.53,188.555,252.856,13.52,11.549,0.069,1.901,254.161,172.205,13.312,41.134,0.852,0.937,0.008,785.358,16.266,17.893,0.152,72.98,2920.383,0.334,1.136,-8.16,-0.465,6.258,13.354,19.699,13.819,0.22,54.336,1.989,0.419,0.788,39.347
5700,1.0,0.88,320.994,191.602,256.943,13.546,11.53,0.07,1.946,254.441,175.18,13.542,41.845,0.867,0.953,0.008,786.221,16.284,17.913,0.153,73.116,2923.779,0.327,1.136,-8.159,-0.489,6.213,13.285,19.61,13.774,0.22,55.485,1.987,0.413,0.79,39.446
5800,1.0,0.88,319.698,194.176,260.395,13.545,11.484,0.071,1.991,255.327,178.152,13.772,42.555,0.881,0.97,0.008,788.959,16.341,17.975,0.153,73.253,2927.081,0.324,1.136,-8.158,-0.512,6.168,13.218,19.522,13.73,0.22,56.64,1.987,0.413,0.79,39.466
5900,1.0,0.88,318.375,196.707,263.788,13.545,11.436,0.071,2.037,256.241,181.12,14.001,43.264,0.896,0.986,0.008,791.786,16.399,18.039,0.154,73.388,2930.539,0.32,1.136,-8.157,-0.536,6.123,13.151,19.435,13.686,0.22,57.802,1.986,0.413,0.79,39.487
6000,1.0,0.88,317.758,199.653,267.739,13.57,11.414,0.072,2.084,256.592,184.085,14.23,43.972,0.911,1.002,0.009,792.87,16.422,18.064,0.154,73.521,2933.915,0.314,1.136,-8.155,-0.559,6.079,13.084,19.348,13.642,0.22,58.97,1.984,0.406,0.791,39.583
6100,1.0,0.88,316.394,202.11,271.034,13.569,11.365,0.073,2.132,257.551,187.046,14.459,44.679,0.925,1.018,0.009,795.832,16.483,18.132,0.155,73.538,2935.628,0.31,1.136,-8.154,-0.563,6.069,13.068,19.328,13.632,0.22,60.0,1.983,0.405,0.791,39.604
6200,1.0,0.88,313.622,203.623,273.063,13.519,11.265,0.073,2.18,259.68,190.004,14.688,45.386,0.94,1.034,0.009,802.41,16.619,18.281,0.156,72.741,2925.945,0.304,1.136,-8.153,-0.438,6.303,13.417,19.779,13.855,0.22,60.0,1.982,0.41,0.788,39.479
6300,1.0,0.88,310.832,205.067,274.999,13.468,11.165,0.074,2.229,261.86,192.958,14.916,46.091,0.955,1.05,0.009,809.149,16.759,18.435,0.157,71.949,2916.356,0.299,1.136,-8.152,-0.312,6.538,13.767,20.231,14.079,0.22,60.0,1.981,0.414,0.785,39.354
6400,1.0,0.88,308.026,206.441,276.842,13.418,11.064,0.075,2.279,264.094,195.908,15.144,46.796,0.969,1.066,0.009,816.052,16.902,18.592,0.158,71.163,2906.914,0.294,1.136,-8.15,-0.186,6.772,14.116,20.683,14.302,0.22,60.0,1.98,0.419,0.782,39.229
6500,1.0,0.88,305.204,207.746,278.592,13.368,10.963,0.076,2.329,266.384,198.856,15.372,47.5,0.984,1.082,0.009,823.127,17.049,18.753,0.16,70.387,2897.442,0.288,1.136,-8.149,-0.06,7.007,14.465,21.135,14.526,0.22,60.0,1.98,0.423,0.779,39.105
6600,1.0,0.88,303.05,209.453,280.881,13.342,10.886,0.076,2.381,268.124,201.799,15.6,48.203,0.998,1.098,0.009,828.504,17.16,18.876,0.161,69.616,2888.002,0.281,1.136,-8.148,0.065,7.241,14.814,21.587,14.749,0.22,60.0,1.977,0.421,0.778,39.053
6700,1.0,0.88,300.191,210.621,282.447,13.292,10.783,0.077,2.433,270.523,204.74,15.827,48.906,1.013,1.114,0.009,835.915,17.313,19.045,0.162,68.851,2878.779,0.275,1.136,-8.146,0.191,7.476,15.164,22.039,14.972,0.22,60.0,1.976,0.425,0.775,38.929
6800,1.0,0.88,297.316,211.717,283.917,13.243,10.68,0.078,2.485,272.982,207.676,16.054,49.607,1.027,1.13,0.01,843.514,17.471,19.218,0.164,68.091,2869.545,0.27,1.136,-8.145,0.317,7.711,15.513,22.491,15.196,0.22,60.0,1.976,0.429,0.772,38.805
6900,1.0,0.88,294.424,212.741,285.29,13.193,10.576,0.078,2.539,275.505,210.61,16.281,50.308,1.042,1.146,0.01,851.311,17.632,19.396,0.165,67.336,2860.3,0.265,1.136,-8.143,0.443,7.945,15.862,22.943,15.419,0.22,60.0,1.975,0.433,0.769,38.682
7000,1.0,0.88,291.518,213.694,286.568,13.143,10.471,0.079,2.593,278.092,213.539,16.507,51.008,1.056,1.162,0.01,859.305,17.798,19.578,0.167,66.589,2851.263,0.26,1.136,-8.142,0.569,8.18,16.212,23.395,15.643,0.22,60.0,1.974,0.437,0.766,38.559
