Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,205.957,21.568,28.923,26.331,1.791,8.033,7.398,0.065,0.57,298.986,5.535,0.072,0.143,0.001,923.865,11.959,23.919,0.179,49.398,2365.971,1.0,1.0,-0.667,7.488,16.093,-10.0,23.789,16.76,0.207,8.0,2.084,1.499,0.616,0.468,31.026
1100,1.0,201.134,23.169,31.07,29.144,1.983,7.867,7.225,0.068,0.574,308.055,6.126,0.079,0.159,0.001,951.889,12.322,24.644,0.185,45.995,2299.645,1.0,1.0,0.266,9.236,18.702,-10.0,27.168,18.436,0.207,8.0,1.756,1.509,0.641,0.459,30.199
1200,1.0,197.419,24.808,33.269,31.99,2.176,7.742,7.091,0.072,0.579,315.789,6.724,0.087,0.174,0.001,975.789,12.632,25.263,0.189,42.825,2238.322,1.0,1.0,1.199,10.985,21.312,-10.0,30.547,20.112,0.207,8.0,1.47,1.517,0.658,0.451,29.535
1300,1.0,196.215,26.712,35.821,34.868,2.372,7.707,7.048,0.076,0.584,319.675,7.329,0.095,0.19,0.001,987.797,12.787,25.574,0.192,41.33,2209.82,1.0,1.0,1.714,11.949,22.75,-10.0,32.41,21.036,0.207,8.286,1.283,1.527,0.668,0.449,29.223
1400,1.0,199.688,29.276,39.259,37.779,2.57,7.841,7.173,0.079,0.589,316.03,7.941,0.103,0.206,0.002,976.534,12.641,25.282,0.19,41.74,2218.098,1.0,1.0,1.691,11.906,22.685,-10.0,32.326,20.995,0.207,8.941,1.178,1.536,0.659,0.457,29.549
1500,1.0,202.415,31.795,42.638,40.723,2.77,7.948,7.271,0.082,0.594,313.661,8.56,0.111,0.222,0.002,969.212,12.546,25.093,0.188,42.154,2225.984,1.0,1.0,1.665,11.857,22.613,-10.0,32.232,20.948,0.207,9.601,1.09,1.546,0.656,0.463,29.772
1600,1.0,205.052,34.357,46.073,43.699,2.973,8.052,7.365,0.086,0.601,311.491,9.186,0.119,0.238,0.002,962.508,12.46,24.919,0.187,42.571,2233.521,1.0,1.0,1.637,11.805,22.535,-10.0,32.131,20.898,0.207,10.266,1.013,1.555,0.654,0.469,29.982
1700,1.0,208.248,37.073,49.716,46.708,3.177,8.177,7.48,0.09,0.607,308.547,9.818,0.127,0.254,0.002,953.411,12.342,24.684,0.185,42.991,2240.758,1.0,1.0,1.607,11.749,22.452,-10.0,32.023,20.845,0.207,10.935,0.943,1.564,0.647,0.477,30.265
1800,1.0,210.735,39.723,53.269,49.75,3.384,8.276,7.57,0.093,0.614,306.719,10.458,0.135,0.271,0.002,947.762,12.269,24.538,0.184,43.413,2247.744,1.0,1.0,1.576,11.691,22.365,-10.0,31.911,20.789,0.207,11.609,0.883,1.574,0.645,0.483,30.453
1900,1.0,213.797,42.539,57.045,52.825,3.594,8.397,7.68,0.096,0.621,304.115,11.104,0.144,0.287,0.002,939.715,12.165,24.329,0.182,43.837,2254.462,1.0,1.0,1.544,11.631,22.275,-10.0,31.794,20.731,0.207,12.289,0.827,1.583,0.639,0.49,30.715
2000,1.0,216.165,45.273,60.713,55.932,3.805,8.493,7.765,0.1,0.628,302.553,11.757,0.152,0.304,0.002,934.887,12.102,24.204,0.182,44.263,2260.933,1.0,1.0,1.511,11.569,22.183,-10.0,31.675,20.672,0.207,12.973,0.779,1.592,0.638,0.495,30.885
2100,1.0,220.246,48.435,64.952,59.072,4.039,8.651,7.911,0.104,0.636,300.183,12.48,0.166,0.321,0.002,927.566,12.308,23.895,0.18,44.847,2274.565,0.995,1.005,1.476,11.503,22.084,-10.0,31.547,20.608,0.209,13.663,0.737,1.609,0.635,0.504,31.121
2200,1.0,223.674,51.531,69.104,62.244,4.277,8.786,8.034,0.107,0.645,298.802,13.216,0.18,0.339,0.003,923.298,12.55,23.665,0.179,45.436,2288.083,0.99,1.01,1.44,11.436,21.984,-10.0,31.418,20.544,0.21,14.358,0.701,1.627,0.637,0.512,31.266
2300,1.0,227.738,54.852,73.558,65.45,4.52,8.944,8.18,0.11,0.653,296.663,13.967,0.194,0.356,0.003,916.688,12.757,23.377,0.178,46.031,2301.539,0.985,1.015,1.404,11.368,21.884,-10.0,31.287,20.48,0.212,15.058,0.667,1.645,0.635,0.522,31.486
2400,1.0,231.15,58.094,77.906,68.688,4.768,9.079,8.303,0.114,0.663,295.463,14.733,0.21,0.374,0.003,912.982,13.0,23.164,0.177,46.631,2314.974,0.98,1.02,1.368,11.301,21.782,-10.0,31.156,20.415,0.214,15.763,0.637,1.663,0.638,0.529,31.618
2500,1.0,235.214,61.579,82.578,71.958,5.021,9.238,8.449,0.118,0.672,293.515,15.514,0.226,0.392,0.003,906.96,13.208,22.894,0.176,47.237,2328.331,0.975,1.026,1.331,11.232,21.681,-10.0,31.025,20.349,0.215,16.472,0.608,1.681,0.635,0.539,31.825
2600,1.0,237.949,64.787,86.88,75.11,5.268,9.35,8.547,0.121,0.682,292.701,16.277,0.242,0.409,0.003,904.447,13.464,22.714,0.176,47.761,2341.814,0.97,1.031,1.295,11.164,21.579,-10.0,30.893,20.284,0.217,17.187,0.586,1.696,0.638,0.545,31.928
2700,1.0,241.342,68.238,91.509,78.282,5.518,9.486,8.669,0.124,0.692,291.136,17.052,0.259,0.426,0.003,899.61,13.683,22.476,0.175,48.288,2355.24,0.965,1.036,1.259,11.096,21.477,-10.0,30.761,20.218,0.218,17.905,0.564,1.71,0.635,0.553,32.108
2800,1.0,244.61,71.724,96.183,81.607,5.783,9.617,8.786,0.128,0.703,290.254,17.869,0.278,0.444,0.003,896.885,13.932,22.292,0.174,48.893,2368.569,0.96,1.042,1.222,11.027,21.375,-10.0,30.629,20.153,0.219,18.629,0.543,1.729,0.639,0.561,32.215
2900,1.0,249.105,75.65,101.448,85.097,6.062,9.793,8.948,0.132,0.714,288.461,18.731,0.297,0.463,0.004,891.345,14.135,22.038,0.173,49.577,2381.707,0.955,1.047,1.186,10.959,21.273,-10.0,30.497,20.087,0.22,19.357,0.519,1.749,0.637,0.571,32.413
3000,1.0,253.62,79.677,106.849,88.627,6.346,9.97,9.11,0.135,0.725,286.744,19.61,0.317,0.482,0.004,886.038,14.337,21.793,0.172,50.268,2394.817,0.95,1.053,1.149,10.891,21.171,-10.0,30.365,20.022,0.221,20.09,0.497,1.77,0.636,0.581,32.606
3100,1.0,257.33,83.537,112.026,92.16,6.634,10.119,9.243,0.138,0.737,285.901,20.5,0.338,0.502,0.004,883.434,14.581,21.614,0.172,50.948,2407.93,0.945,1.058,1.113,10.822,21.069,-10.0,30.233,19.957,0.222,20.828,0.478,1.791,0.64,0.59,32.711
3200,1.0,261.746,87.712,117.624,95.731,6.928,10.293,9.402,0.142,0.749,284.348,21.407,0.36,0.521,0.004,878.636,14.786,21.383,0.171,51.634,2421.114,0.94,1.064,1.076,10.754,20.968,-10.0,30.101,19.891,0.223,21.57,0.459,1.811,0.639,0.6,32.891
3300,1.0,265.277,91.673,122.936,99.281,7.223,10.436,9.529,0.146,0.762,283.661,22.32,0.383,0.54,0.004,876.511,15.034,21.218,0.17,52.3,2434.389,0.935,1.07,1.04,10.687,20.866,-10.0,29.97,19.826,0.224,22.317,0.444,1.832,0.643,0.608,32.984
3400,1.0,269.312,95.888,128.587,102.806,7.52,10.597,9.674,0.149,0.775,282.33,23.237,0.406,0.559,0.005,872.401,15.246,21.005,0.169,52.943,2447.7,0.93,1.075,1.004,10.619,20.765,-10.0,29.839,19.761,0.224,23.069,0.429,1.85,0.642,0.618,33.147
3500,1.0,272.658,99.935,134.014,106.361,7.822,10.734,9.794,0.152,0.788,281.78,24.17,0.43,0.579,0.005,870.7,15.498,20.852,0.169,53.593,2461.008,0.925,1.081,0.968,10.551,20.665,-10.0,29.709,19.697,0.225,23.826,0.416,1.87,0.646,0.626,33.229
3600,1.0,276.161,104.11,139.614,109.778,8.117,10.877,9.92,0.156,0.801,280.685,25.082,0.455,0.597,0.005,867.318,15.718,20.658,0.168,54.172,2474.561,0.92,1.087,0.932,10.484,20.564,-10.0,29.579,19.632,0.225,24.587,0.404,1.887,0.644,0.634,33.374
3700,1.0,278.959,108.086,144.946,113.216,8.417,10.995,10.02,0.159,0.816,280.351,26.009,0.48,0.616,0.005,866.285,15.98,20.522,0.168,54.757,2488.156,0.915,1.093,0.896,10.417,20.464,-10.0,29.45,19.568,0.225,25.353,0.394,1.904,0.648,0.641,33.438
3800,1.0,282.348,112.356,150.672,116.631,8.719,11.135,10.142,0.163,0.83,279.358,26.941,0.506,0.635,0.005,863.217,16.203,20.337,0.168,55.329,2501.798,0.91,1.099,0.861,10.351,20.365,-10.0,29.321,19.504,0.225,26.123,0.384,1.92,0.646,0.649,33.575
3900,1.0,284.877,116.346,156.022,120.019,9.022,11.244,10.233,0.166,0.845,279.15,27.877,0.532,0.653,0.005,862.573,16.47,20.21,0.167,55.887,2515.474,0.905,1.105,0.825,10.284,20.266,-10.0,29.193,19.441,0.225,26.898,0.376,1.936,0.65,0.656,33.628
4000,1.0,288.149,120.699,161.861,123.424,9.329,11.38,10.35,0.17,0.86,278.25,28.827,0.56,0.672,0.006,859.794,16.695,20.034,0.167,56.45,2529.309,0.9,1.111,0.79,10.218,20.167,-10.0,29.065,19.377,0.225,27.678,0.368,1.951,0.648,0.664,33.758
4100,1.0,289.134,124.14,166.475,126.653,9.594,11.435,10.386,0.174,0.876,278.235,29.647,0.58,0.689,0.006,859.746,16.805,19.988,0.167,56.804,2537.744,0.898,1.114,0.755,10.152,20.069,-10.0,28.938,19.314,0.225,28.463,0.361,1.959,0.649,0.667,33.806
4200,1.0,290.843,127.92,171.543,129.889,9.862,11.516,10.447,0.177,0.892,277.532,30.472,0.6,0.707,0.006,857.574,16.874,19.893,0.167,57.159,2546.093,0.896,1.116,0.72,10.087,19.971,-10.0,28.811,19.251,0.225,29.252,0.353,1.965,0.645,0.671,33.931
4300,1.0,291.576,131.295,176.07,133.057,10.125,11.562,10.473,0.18,0.908,277.611,31.285,0.62,0.724,0.006,857.818,16.99,19.855,0.167,57.484,2554.475,0.894,1.119,0.685,10.021,19.874,-10.0,28.685,19.189,0.225,30.047,0.347,1.971,0.646,0.674,33.971
4400,1.0,292.814,134.919,180.93,136.151,10.383,11.627,10.518,0.184,0.925,277.057,32.085,0.64,0.741,0.006,856.105,17.067,19.771,0.166,57.778,2562.959,0.892,1.121,0.65,9.956,19.777,-10.0,28.559,19.126,0.224,30.846,0.341,1.975,0.641,0.678,34.085
4500,1.0,293.292,138.211,185.344,139.246,10.643,11.664,10.535,0.187,0.942,277.227,32.888,0.66,0.758,0.006,856.631,17.188,19.739,0.166,58.075,2571.353,0.89,1.124,0.616,9.891,19.68,-10.0,28.434,19.064,0.224,31.649,0.337,1.98,0.642,0.68,34.119
4600,1.0,294.276,141.756,190.098,142.259,10.898,11.721,10.57,0.191,0.959,276.766,33.675,0.68,0.774,0.007,855.206,17.27,19.661,0.166,58.342,2579.73,0.888,1.126,0.581,9.827,19.584,-10.0,28.309,19.002,0.224,32.458,0.332,1.982,0.637,0.683,34.226
4700,1.0,294.498,144.947,194.377,145.27,11.154,11.75,10.578,0.194,0.977,277.025,34.465,0.7,0.791,0.007,856.006,17.397,19.636,0.166,58.608,2588.2,0.886,1.129,0.547,9.763,19.488,-10.0,28.185,18.941,0.224,33.271,0.328,1.986,0.638,0.685,34.254
4800,1.0,295.451,148.51,199.155,148.277,11.41,11.806,10.613,0.198,0.996,276.599,35.258,0.721,0.807,0.007,854.69,17.481,19.561,0.166,58.873,2596.61,0.884,1.131,0.513,9.699,19.392,-10.0,28.061,18.879,0.224,34.09,0.324,1.989,0.633,0.688,34.359
4900,1.0,295.64,151.701,203.434,151.28,11.668,11.835,10.619,0.202,1.014,276.892,36.054,0.742,0.823,0.007,855.596,17.61,19.537,0.166,59.138,2604.945,0.882,1.134,0.479,9.635,19.297,-10.0,27.939,18.818,0.223,34.913,0.32,1.993,0.634,0.69,34.385
5000,1.0,296.563,155.28,208.234,154.28,11.926,11.891,10.653,0.205,1.033,276.5,36.852,0.763,0.84,0.007,854.386,17.696,19.466,0.166,59.401,2613.289,0.88,1.136,0.445,9.572,19.203,-10.0,27.816,18.758,0.223,35.74,0.316,1.996,0.629,0.693,34.488
5100,1.0,296.034,158.103,212.02,157.276,12.158,11.895,10.634,0.208,1.053,276.837,37.568,0.778,0.856,0.007,855.426,17.718,19.489,0.166,59.572,2617.756,0.88,1.136,0.411,9.509,19.109,-10.0,27.694,18.697,0.223,36.573,0.312,1.995,0.628,0.694,34.519
5200,1.0,296.236,161.313,216.325,160.269,12.389,11.925,10.641,0.212,1.073,276.491,38.283,0.793,0.872,0.007,854.356,17.695,19.465,0.166,59.742,2622.115,0.88,1.136,0.378,9.446,19.015,-10.0,27.573,18.637,0.223,37.411,0.307,1.993,0.622,0.695,34.628
5300,1.0,295.668,164.1,220.062,163.258,12.62,11.929,10.62,0.215,1.093,276.865,38.997,0.808,0.888,0.008,855.512,17.719,19.491,0.166,59.909,2626.381,0.88,1.136,0.344,9.383,18.922,-10.0,27.452,18.577,0.223,38.253,0.304,1.993,0.622,0.696,34.657
5400,1.0,295.834,167.29,224.34,166.244,12.851,11.959,10.626,0.219,1.113,276.552,39.71,0.822,0.905,0.008,854.547,17.699,19.469,0.166,60.076,2630.74,0.88,1.136,0.311,9.321,18.829,-10.0,27.332,18.517,0.223,39.101,0.299,1.991,0.616,0.697,34.764
5500,1.0,295.23,170.04,228.028,169.226,13.082,11.961,10.605,0.222,1.134,276.96,40.423,0.837,0.921,0.008,855.807,17.725,19.498,0.166,60.24,2634.999,0.88,1.136,0.278,9.259,18.736,-10.0,27.212,18.458,0.223,39.953,0.296,1.991,0.616,0.697,34.792
5600,1.0,295.358,173.207,232.275,172.205,13.312,11.991,10.609,0.226,1.156,276.682,41.134,0.852,0.937,0.008,854.949,17.708,19.478,0.166,60.402,2639.155,0.88,1.136,0.245,9.197,18.644,-10.0,27.093,18.399,0.223,40.81,0.292,1.989,0.609,0.699,34.897
5700,1.0,294.718,175.918,235.91,175.18,13.542,11.993,10.586,0.229,1.177,277.125,41.845,0.867,0.953,0.008,856.317,17.736,19.51,0.166,60.567,2643.343,0.88,1.136,0.213,9.136,18.553,-10.0,26.975,18.34,0.223,41.671,0.289,1.988,0.609,0.699,34.924
5800,1.0,294.811,179.061,240.125,178.152,13.772,12.022,10.59,0.233,1.199,276.88,42.555,0.881,0.97,0.008,855.558,17.72,19.492,0.166,60.731,2647.507,0.88,1.136,0.18,9.075,18.462,-10.0,26.857,18.282,0.223,42.538,0.285,1.986,0.603,0.701,35.028
5900,1.0,294.137,181.732,243.706,181.12,14.001,12.024,10.565,0.236,1.222,277.356,43.264,0.896,0.986,0.008,857.03,17.751,19.526,0.166,60.892,2651.578,0.88,1.136,0.148,9.015,18.372,-10.0,26.74,18.224,0.223,43.409,0.282,1.986,0.603,0.701,35.053
6000,1.0,294.196,184.849,247.886,184.085,14.23,12.052,10.568,0.24,1.245,277.142,43.972,0.911,1.002,0.009,856.37,17.737,19.511,0.166,61.052,2655.59,0.88,1.136,0.116,8.954,18.282,-10.0,26.623,18.166,0.223,44.285,0.278,1.984,0.597,0.703,35.156
6100,1.0,294.533,188.145,252.307,187.046,14.509,12.091,10.58,0.243,1.268,277.613,44.832,0.937,1.018,0.009,857.825,17.934,19.477,0.167,61.358,2665.652,0.877,1.14,0.084,8.895,18.193,-10.0,26.508,18.109,0.222,45.166,0.277,1.99,0.599,0.705,35.169
6200,1.0,294.857,191.44,256.725,190.004,14.789,12.13,10.591,0.247,1.292,278.101,45.697,0.964,1.034,0.009,859.333,18.132,19.445,0.167,61.664,2675.669,0.874,1.144,0.052,8.835,18.104,-10.0,26.393,18.052,0.222,46.051,0.276,1.997,0.601,0.707,35.182
6300,1.0,295.934,195.238,261.819,192.958,15.07,12.196,10.63,0.25,1.316,277.885,46.568,0.992,1.05,0.009,858.664,18.285,19.363,0.167,61.974,2685.661,0.871,1.148,0.021,8.776,18.016,-10.0,26.279,17.995,0.221,46.94,0.273,2.002,0.597,0.711,35.272
6400,1.0,296.243,198.544,266.252,195.908,15.354,12.235,10.641,0.254,1.34,278.395,47.443,1.019,1.066,0.009,860.242,18.485,19.332,0.167,62.285,2695.729,0.868,1.152,-0.011,8.718,17.929,-10.0,26.166,17.939,0.22,47.835,0.272,2.008,0.599,0.713,35.283
6500,1.0,297.306,202.37,271.383,198.856,15.639,12.302,10.679,0.257,1.365,278.202,48.324,1.048,1.082,0.009,859.645,18.64,19.252,0.167,62.596,2705.842,0.865,1.156,-0.042,8.659,17.841,-10.0,26.053,17.883,0.22,48.734,0.269,2.013,0.595,0.717,35.373
6600,1.0,297.601,205.687,275.831,201.799,15.926,12.341,10.69,0.261,1.39,278.735,49.21,1.077,1.098,0.01,861.29,18.842,19.222,0.167,62.907,2715.931,0.862,1.16,-0.073,8.601,17.755,-10.0,25.941,17.828,0.219,49.638,0.268,2.02,0.597,0.72,35.383
6700,1.0,298.653,209.542,281.0,204.74,16.214,12.408,10.728,0.264,1.416,278.563,50.101,1.106,1.114,0.01,860.76,18.998,19.143,0.167,63.217,2725.982,0.859,1.164,-0.104,8.544,17.669,-10.0,25.83,17.772,0.218,50.547,0.266,2.025,0.593,0.723,35.471
6800,1.0,298.932,212.868,285.461,207.676,16.504,12.447,10.738,0.268,1.442,279.118,50.998,1.135,1.13,0.01,862.474,19.203,19.114,0.167,63.528,2736.194,0.856,1.168,-0.134,8.486,17.583,-10.0,25.719,17.718,0.217,51.461,0.265,2.031,0.595,0.726,35.48
6900,1.0,299.974,216.751,290.668,210.61,16.796,12.514,10.775,0.271,1.468,278.967,51.9,1.166,1.146,0.01,862.009,19.36,19.037,0.167,63.842,2746.384,0.853,1.172,-0.165,8.429,17.498,-10.0,25.609,17.663,0.216,52.379,0.263,2.036,0.591,0.73,35.567
7000,1.0,300.24,220.087,295.142,213.539,17.09,12.554,10.785,0.275,1.495,279.543,52.808,1.196,1.162,0.01,863.789,19.568,19.009,0.168,64.158,2756.548,0.85,1.176,-0.195,8.373,17.414,-10.0,25.499,17.609,0.215,53.302,0.262,2.043,0.593,0.732,35.575
